Time (s)	Counter ()	ยว 2 (mm)
0.0374	14.99684	28.432243
0.0376	14.993652	28.426125
0.0378	14.996202	27.580231
0.038	14.993015	27.087685
0.0382	14.995565	26.815409
0.0384	14.998116	26.302977
0.0386	14.996202	26.306036
0.0388	14.99684	26.231083
0.039	14.995565	26.598198
0.0392	14.994927	27.02191
0.0394	14.993015	27.653654
0.0396	14.995565	27.656713
0.0398	14.99429	28.563791
0.04	14.995565	29.454046
0.0402	14.995565	30.021544
0.0404	14.996202	30.026133
0.0406	14.998116	30.020014
0.0408	14.993652	30.021544
0.041	14.995565	30.020014
0.0412	14.998753	30.027662
0.0414	14.994927	30.020014
0.0416	14.994927	30.027662
0.0418	14.99429	30.024603
0.042	14.996202	30.016954
0.0422	14.99684	30.026133
0.0424	14.996202	30.024603
0.0426	14.992377	30.027662
0.0428	14.998753	30.018484
0.043	14.994927	30.030722
0.0432	14.994927	30.018484
0.0434	14.993652	30.027662
0.0436	14.995565	30.023073
0.0438	14.995565	30.018484
0.044	14.996202	30.018484
0.0442	14.995565	30.018484
0.0444	14.995565	30.018484
0.0446	14.994927	30.026133
0.0448	14.998116	30.023073
0.045	14.99429	30.023073
0.0452	14.99429	30.021544
0.0454	14.994927	30.027662
0.0456	14.993652	30.023073
0.0458	14.994927	30.026133
0.046	14.993652	30.023073
0.0462	14.996202	30.027662
0.0464	15.000028	30.015425
0.0466	14.994927	30.024603
0.0468	14.993652	30.023073
0.047	14.996202	30.029192
0.0472	14.995565	29.501465
0.0474	14.994927	28.57144
0.0476	14.995565	28.563791
0.0478	14.993652	27.586349
0.048	15.000028	27.086155
0.0482	14.99429	26.601257
0.0484	14.99684	26.220377
0.0486	14.996202	26.218847
0.0488	14.99429	26.143894
0.049	14.99429	26.390167
0.0492	14.996202	26.813879
0.0494	14.993652	27.36455
0.0496	14.99174	27.370668
0.0498	14.997478	28.215033
0.05	14.992377	29.190947
0.0502	14.993652	30.020014
0.0504	14.993652	30.023073
0.0506	14.99684	30.021544
0.0508	14.99684	30.024603
0.051	14.995565	30.027662
0.0512	14.994927	30.024603
0.0514	15.000028	30.020014
0.0516	14.993652	30.023073
0.0518	14.994927	30.021544
0.052	14.993652	30.015425
0.0522	14.99684	30.016954
0.0524	14.995565	30.020014
0.0526	14.999391	30.015425
0.0528	14.993652	30.024603
0.053	14.998753	30.027662
0.0532	14.99429	30.023073
0.0534	14.996202	30.024603
0.0536	14.991102	30.029192
0.0538	14.99684	30.027662
0.054	14.993015	30.027662
0.0542	14.995565	30.027662
0.0544	14.994927	30.018484
0.0546	14.996202	30.020014
0.0548	14.996202	30.023073
0.055	14.994927	30.024603
0.0552	14.99429	30.021544
0.0554	14.996202	30.027662
0.0556	14.993015	30.027662
0.0558	14.99684	30.023073
0.056	14.99174	30.023073
0.0562	14.993015	30.020014
0.0564	14.998753	30.018484
0.0566	14.998753	30.024603
0.0568	14.992377	30.024603
0.057	14.998753	30.023073
0.0572	14.99429	29.60701
0.0574	14.99684	28.638744
0.0576	14.99429	28.632626
0.0578	14.993015	27.647535
0.058	14.99174	27.226883
0.0582	14.996202	26.657854
0.0584	14.994927	26.298388
0.0586	14.99429	26.306036
0.0588	15.000028	26.134716
0.059	14.99429	26.599728
0.0592	14.99684	27.089214
0.0594	14.99684	27.577171
0.0596	14.994927	27.590939
0.0598	14.99429	28.35882
0.06	14.998116	29.288843
0.0602	14.99429	29.975655
0.0604	14.994927	30.030722
0.0606	14.994927	30.024603
0.0608	14.99429	30.013895
0.061	14.99684	30.021544
0.0612	14.99684	30.023073
0.0614	14.995565	30.026133
0.0616	14.99429	30.020014
0.0618	14.996202	30.026133
0.062	14.994927	30.023073
0.0622	14.992377	30.023073
0.0624	14.994927	30.020014
0.0626	14.992377	30.033781
0.0628	14.993015	30.018484
0.063	14.996202	30.018484
0.0632	14.994927	30.024603
0.0634	14.993652	30.023073
0.0636	14.996202	30.013895
0.0638	14.992377	30.023073
0.064	14.996202	30.024603
0.0642	14.995565	30.023073
0.0644	14.994927	30.023073
0.0646	14.993015	30.024603
0.0648	14.996202	30.035311
0.065	14.995565	30.026133
0.0652	14.997478	30.024603
0.0654	14.993652	30.027662
0.0656	14.996202	30.026133
0.0658	14.994927	30.026133
0.066	14.99684	30.026133
0.0662	14.994927	30.021544
0.0664	14.996202	30.013895
0.0666	14.99174	30.023073
0.0668	14.99684	30.026133
0.067	14.993015	30.020014
0.0672	14.99429	29.501465
0.0674	14.993652	28.510254
0.0676	14.999391	28.494959
0.0678	14.996202	27.655184
0.068	14.99684	27.014261
0.0682	14.992377	26.737396
0.0684	14.998753	26.313684
0.0686	14.996202	26.307566
0.0688	14.998116	26.146954
0.069	14.993015	26.449823
0.0692	14.994927	26.740456
0.0694	14.992377	27.439503
0.0696	14.99684	27.45327
0.0698	14.996202	28.286926
0.07	14.993015	29.198595
0.0702	14.993652	30.026133
0.0704	14.995565	30.024603
0.0706	14.998753	30.027662
0.0708	14.998116	30.033781
0.071	14.993652	30.032251
0.0712	14.994927	30.026133
0.0714	14.99429	30.018484
0.0716	14.994927	30.020014
0.0718	14.995565	30.016954
0.072	14.99429	30.016954
0.0722	14.996202	30.016954
0.0724	14.995565	30.024603
0.0726	14.994927	30.020014
0.0728	14.995565	30.024603
0.073	14.99429	30.023073
0.0732	14.994927	30.021544
0.0734	14.99429	30.021544
0.0736	14.99429	30.030722
0.0738	14.993652	30.030722
0.074	14.997478	30.026133
0.0742	14.996202	30.020014
0.0744	14.993015	30.023073
0.0746	14.994927	30.018484
0.0748	14.995565	30.023073
0.075	14.996202	30.024603
0.0752	14.99684	30.021544
0.0754	14.996202	30.021544
0.0756	14.994927	30.023073
0.0758	14.99429	30.024603
0.076	14.996202	30.032251
0.0762	14.99684	30.029192
0.0764	14.994927	30.023073
0.0766	14.995565	30.024603
0.0768	14.994927	30.021544
0.077	14.99684	30.021544
0.0772	14.991102	29.39439
0.0774	14.997478	28.364939
0.0776	14.996202	28.346582
0.0778	14.995565	27.36302
0.078	14.994927	27.078506
0.0782	14.99684	26.598198
0.0784	14.993652	26.228024
0.0786	14.998116	26.228024
0.0788	14.99429	26.226494
0.079	14.99684	26.530893
0.0792	14.990465	27.02191
0.0794	14.998753	27.58482
0.0796	14.993015	27.589409
0.0798	14.997478	28.498018
0.08	14.994927	29.398979
0.0802	14.996202	30.016954
0.0804	14.993652	30.023073
0.0806	14.996202	30.010836
0.0808	14.99429	30.020014
0.081	14.99684	30.023073
0.0812	14.99684	30.024603
0.0814	14.998753	30.016954
0.0816	14.993015	30.030722
0.0818	14.99684	30.030722
0.082	14.996202	30.024603
0.0822	14.993015	30.023073
0.0824	14.992377	30.023073
0.0826	14.995565	30.016954
0.0828	14.993652	30.016954
0.083	14.995565	30.023073
0.0832	14.999391	30.024603
0.0834	14.992377	30.027662
0.0836	14.996202	30.023073
0.0838	14.997478	30.026133
0.084	14.993015	30.029192
0.0842	14.99684	30.030722
0.0844	14.99684	30.024603
0.0846	14.993015	30.029192
0.0848	15.001303	30.024603
0.085	14.99174	30.023073
0.0852	14.995565	30.023073
0.0854	14.993015	30.027662
0.0856	14.992377	30.024603
0.0858	14.993652	30.023073
0.086	14.996202	30.015425
0.0862	14.995565	30.018484
0.0864	15.000666	30.018484
0.0866	14.994927	30.012365
0.0868	14.993015	30.016954
0.087	14.993652	30.024603
0.0872	14.995565	29.238365
0.0874	14.993015	28.224211
0.0876	14.994927	28.215033
0.0878	14.994927	27.442562
0.088	14.994927	27.017321
0.0882	14.995565	26.602787
0.0884	14.993015	26.231083
0.0886	14.994927	26.221907
0.0888	14.99684	26.223434
0.089	14.994927	26.596668
0.0892	14.995565	27.228413
0.0894	14.996202	27.719429
0.0896	14.996202	27.720959
0.0898	14.99429	28.696871
0.09	14.998116	29.502995
0.0902	14.992377	30.023073
0.0904	14.998753	30.021544
0.0906	14.99429	30.021544
0.0908	14.993652	30.030722
0.091	14.992377	30.024603
0.0912	14.995565	30.020014
0.0914	14.99429	30.021544
0.0916	14.997478	30.024603
0.0918	14.99429	30.026133
0.092	14.99684	30.013895
0.0922	14.99429	30.026133
0.0924	14.995565	30.026133
0.0926	14.994927	30.021544
0.0928	14.99429	30.029192
0.093	14.994927	30.026133
0.0932	14.99429	30.026133
0.0934	14.995565	30.020014
0.0936	14.993652	30.027662
0.0938	14.991102	30.018484
0.094	14.996202	30.021544
0.0942	14.993015	30.024603
0.0944	14.99429	30.016954
0.0946	14.997478	30.015425
0.0948	14.992377	30.016954
0.095	14.994927	30.021544
0.0952	14.99429	30.027662
0.0954	14.998116	30.026133
0.0956	14.995565	30.023073
0.0958	14.995565	30.027662
0.096	14.993652	30.021544
0.0962	14.997478	30.023073
0.0964	14.997478	30.021544
0.0966	14.995565	30.029192
0.0968	14.997478	30.023073
0.097	14.994927	30.020014
0.0972	14.993015	29.145058
0.0974	15.000028	28.213503
0.0976	14.996202	28.210443
0.0978	14.997478	27.442562
0.098	14.995565	26.870476
0.0982	14.99684	26.524775
0.0984	14.993015	26.062822
0.0986	14.996202	26.055174
0.0988	14.995565	26.221907
0.099	14.996202	26.670092
0.0992	14.992377	27.159578
0.0994	14.994927	27.642946
0.0996	14.99429	27.656713
0.0998	14.997478	28.498018
0.1	14.994927	29.449457
0.1002	14.995565	30.021544
0.1004	14.993015	30.016954
0.1006	14.998116	30.024603
0.1008	14.995565	30.021544
0.101	14.994927	30.029192
0.1012	14.993015	30.029192
0.1014	14.995565	30.018484
0.1016	14.996202	30.013895
0.1018	14.995565	30.027662
0.102	14.99684	30.021544
0.1022	14.995565	30.023073
0.1024	14.995565	30.029192
0.1026	14.994927	30.020014
0.1028	14.99684	30.021544
0.103	14.993015	30.020014
0.1032	14.999391	30.018484
0.1034	14.994927	30.024603
0.1036	14.994927	30.018484
0.1038	14.995565	30.023073
0.104	14.993652	30.023073
0.1042	14.995565	30.021544
0.1044	14.997478	30.021544
0.1046	14.993015	30.027662
0.1048	14.996202	30.026133
0.105	14.98919	30.023073
0.1052	14.995565	30.024603
0.1054	14.993015	30.024603
0.1056	14.998116	30.029192
0.1058	14.99429	30.024603
0.106	14.998116	30.018484
0.1062	14.993652	30.023073
0.1064	14.99684	30.018484
0.1066	14.99429	30.020014
0.1068	14.995565	30.018484
0.107	14.990465	30.030722
0.1072	14.998753	29.189417
0.1074	14.994927	28.231859
0.1076	14.997478	28.211973
0.1078	14.995565	27.234531
0.108	14.996202	26.815409
0.1082	14.991102	26.384048
0.1084	14.993652	25.900681
0.1086	14.99429	25.893032
0.1088	14.995565	26.140835
0.109	14.992377	26.457472
0.1092	14.996202	26.80776
0.1094	14.993015	27.375257
0.1096	14.99684	27.369139
0.1098	14.995565	28.289986
0.11	14.995565	29.398979
0.1102	14.994927	30.023073
0.1104	14.99684	30.027662
0.1106	14.994927	30.030722
0.1108	14.995565	30.027662
0.111	14.99429	30.021544
0.1112	14.994927	30.023073
0.1114	14.99429	30.029192
0.1116	14.99684	30.023073
0.1118	14.99429	30.020014
0.112	14.994927	30.018484
0.1122	14.99429	30.024603
0.1124	14.995565	30.023073
0.1126	14.995565	30.026133
0.1128	14.99429	30.020014
0.113	14.995565	30.026133
0.1132	14.996202	30.023073
0.1134	14.992377	30.021544
0.1136	14.998753	30.023073
0.1138	14.99429	30.027662
0.114	14.998116	30.026133
0.1142	14.995565	30.021544
0.1144	14.994927	30.021544
0.1146	14.998753	30.026133
0.1148	14.992377	30.018484
0.115	14.998116	30.013895
0.1152	14.99684	30.023073
0.1154	14.99429	30.023073
0.1156	14.99429	30.020014
0.1158	14.995565	30.029192
0.116	14.995565	30.023073
0.1162	14.99684	30.032251
0.1164	14.992377	30.033781
0.1166	14.991102	30.024603
0.1168	14.994927	30.029192
0.117	14.998116	29.810453
0.1172	14.993652	29.033394
0.1174	14.995565	27.798969
0.1176	14.98919	27.786732
0.1178	14.993015	26.870476
0.118	14.99429	26.393227
0.1182	14.997478	25.967985
0.1184	14.989827	25.397427
0.1186	14.994927	25.402016
0.1188	14.993015	25.389778
0.119	14.993015	25.804312
0.1192	14.99429	26.221907
0.1194	14.994927	26.872005
0.1196	14.99429	26.876595
0.1198	14.999391	27.864744
0.12	14.995565	29.030334
0.1202	14.997478	29.659018
0.1204	14.99174	30.020014
0.1206	14.998116	30.020014
0.1208	14.995565	30.020014
0.121	14.997478	30.012365
0.1212	14.99429	30.024603
0.1214	14.995565	30.029192
0.1216	14.996202	30.021544
0.1218	14.99684	30.026133
0.122	14.992377	30.020014
0.1222	14.995565	30.023073
0.1224	14.997478	30.018484
0.1226	14.998753	30.026133
0.1228	14.996202	30.016954
0.123	14.99684	30.023073
0.1232	14.994927	30.023073
0.1234	14.997478	30.018484
0.1236	14.998753	30.021544
0.1238	14.99429	30.023073
0.124	14.996202	30.029192
0.1242	14.993652	30.018484
0.1244	14.996202	30.029192
0.1246	14.99429	30.021544
0.1248	14.99429	30.024603
0.125	14.995565	30.026133
0.1252	14.996202	30.018484
0.1254	14.99684	30.023073
0.1256	14.99429	30.024603
0.1258	14.993652	30.027662
0.126	14.99174	30.018484
0.1262	14.99174	30.023073
0.1264	14.997478	30.020014
0.1266	14.994927	30.032251
0.1268	14.99684	30.023073
0.127	14.996202	29.501465
0.1272	14.993652	28.494959
0.1274	14.99429	27.32325
0.1276	14.998753	27.309483
0.1278	14.993015	26.391697
0.128	14.998753	25.81196
0.1282	14.992377	25.389778
0.1284	14.996202	24.897234
0.1286	14.993015	24.894175
0.1288	14.997478	25.050198
0.129	14.993015	25.548862
0.1292	14.997478	26.224964
0.1294	14.993652	26.797052
0.1296	14.998753	26.81082
0.1298	14.992377	27.656713
0.13	14.994927	28.840658
0.1302	14.993015	29.712555
