Time (s)	Counter ()	?? 2 (mm)
0.0374	14.991102	26.443705
0.0376	14.997478	27.650595
0.0378	14.993652	28.987503
0.038	14.995565	30.029192
0.0382	14.99429	30.070492
0.0384	14.994927	30.070492
0.0386	14.992377	30.068962
0.0388	14.997478	30.068962
0.039	14.99174	30.070492
0.0392	14.992377	30.061314
0.0394	14.998116	30.070492
0.0396	14.99684	30.065903
0.0398	14.995565	30.070492
0.04	14.996202	30.067432
0.0402	14.99174	30.073551
0.0404	14.99684	30.072021
0.0406	14.999391	30.065903
0.0408	14.994927	30.061314
0.041	14.99429	30.068962
0.0412	14.996202	30.067432
0.0414	14.99429	30.072021
0.0416	14.995565	30.070492
0.0418	14.993015	30.072021
0.042	14.995565	30.072021
0.0422	14.99429	30.067432
0.0424	14.993015	30.064373
0.0426	14.999391	30.072021
0.0428	14.994927	30.067432
0.043	14.99684	30.065903
0.0432	14.994927	30.068962
0.0434	14.993652	29.643721
0.0436	14.993652	28.582148
0.0438	14.993652	27.333958
0.044	14.992377	27.161108
0.0442	14.99684	26.108711
0.0444	14.993652	24.761095
0.0446	14.996202	24.022276
0.0448	14.995565	23.75
0.045	14.996202	23.667398
0.0452	14.99174	23.441011
0.0454	14.998116	23.242157
0.0456	14.99429	23.156498
0.0458	14.994927	23.174852
0.046	14.995565	23.180971
0.0462	14.992377	23.346172
0.0464	14.992377	23.502197
0.0466	14.99429	23.766825
0.0468	14.994927	24.114056
0.047	14.996202	24.210423
0.0472	14.998753	25.265877
0.0474	14.995565	26.446764
0.0476	14.998753	27.653654
0.0478	14.993015	28.929377
0.048	14.992377	30.027662
0.0482	14.99174	30.059784
0.0484	14.998116	30.065903
0.0486	14.993652	30.065903
0.0488	14.99684	30.062843
0.049	14.996202	30.072021
0.0492	14.99684	30.062843
0.0494	14.994927	30.068962
0.0496	14.998116	30.068962
0.0498	14.994927	30.072021
0.05	14.995565	30.068962
0.0502	14.994927	30.064373
0.0504	14.995565	30.068962
0.0506	14.99684	30.065903
0.0508	14.996202	30.064373
0.051	14.994927	30.062843
0.0512	14.997478	30.067432
0.0514	14.995565	30.065903
0.0516	14.99174	30.070492
0.0518	14.993015	30.068962
0.052	14.993652	30.076611
0.0522	14.99429	30.068962
0.0524	14.994927	30.072021
0.0526	14.996202	30.065903
0.0528	14.993015	30.072021
0.053	14.998753	30.061314
0.0532	14.993652	30.072021
0.0534	14.995565	29.804335
0.0536	14.99684	28.583677
0.0538	14.999391	27.49457
0.054	14.992377	27.297247
0.0542	14.994927	26.276974
0.0544	14.998116	24.759565
0.0546	14.995565	24.118645
0.0548	14.990465	23.814245
0.055	14.995565	23.736233
0.0552	14.994927	23.474663
0.0554	14.99429	23.347702
0.0556	14.997478	23.18556
0.0558	14.995565	23.249805
0.056	14.992377	23.283459
0.0562	14.99684	23.372177
0.0564	14.99174	23.603153
0.0566	14.993015	23.854015
0.0568	14.996202	24.143118
0.057	14.991102	24.247133
0.0572	14.998116	25.437199
0.0574	14.99429	26.58596
0.0576	14.995565	27.869333
0.0578	14.993652	28.987503
0.058	14.994927	29.39286
0.0582	14.995565	30.070492
0.0584	14.99684	30.075081
0.0586	14.995565	30.067432
0.0588	14.998116	30.070492
0.059	14.99429	30.070492
0.0592	14.996202	30.064373
0.0594	14.993015	30.062843
0.0596	14.99429	30.072021
0.0598	14.995565	30.062843
0.06	14.994927	30.075081
0.0602	14.993015	30.062843
0.0604	15.000028	30.065903
0.0606	14.994927	30.067432
0.0608	14.997478	30.070492
0.061	14.993652	30.064373
0.0612	14.993652	30.072021
0.0614	14.995565	30.068962
0.0616	14.998116	30.067432
0.0618	14.995565	30.068962
0.062	14.994927	30.072021
0.0622	14.99684	30.072021
0.0624	14.99174	30.064373
0.0626	14.995565	30.068962
0.0628	14.996202	30.061314
0.063	14.997478	30.070492
0.0632	14.991102	30.061314
0.0634	14.998753	30.013895
0.0636	14.99429	28.808535
0.0638	14.997478	27.772966
0.064	14.993015	27.589409
0.0642	14.994927	26.50642
0.0644	14.995565	25.267406
0.0646	14.99429	24.210423
0.0648	14.99429	23.927439
0.065	14.998753	23.826481
0.0652	14.993015	23.641396
0.0654	14.994927	23.477722
0.0656	14.993015	23.344643
0.0658	14.998116	23.362999
0.066	14.993652	23.372177
0.0662	14.998753	23.546556
0.0664	14.995565	23.731644
0.0666	14.99429	23.96109
0.0668	14.99429	24.386332
0.067	14.998753	24.519411
0.0672	14.99429	25.692648
0.0674	14.992377	26.803171
0.0676	14.993015	27.938168
0.0678	14.996202	29.082342
0.068	14.996202	29.423452
0.0682	14.998116	30.065903
0.0684	14.995565	30.067432
0.0686	14.994927	30.072021
0.0688	14.995565	30.073551
0.069	14.994927	30.068962
0.0692	14.996202	30.067432
0.0694	14.994927	30.062843
0.0696	14.99429	30.073551
0.0698	14.993652	30.067432
0.07	14.997478	30.068962
0.0702	14.99684	30.062843
0.0704	14.995565	30.070492
0.0706	14.99429	30.068962
0.0708	14.994927	30.062843
0.071	14.99684	30.067432
0.0712	14.998753	30.072021
0.0714	14.993652	30.065903
0.0716	14.995565	30.059784
0.0718	14.998116	30.067432
0.072	14.997478	30.072021
0.0722	14.993652	30.067432
0.0724	14.993652	30.070492
0.0726	14.995565	30.068962
0.0728	14.998116	30.062843
0.073	14.995565	30.064373
0.0732	14.993652	30.068962
0.0734	14.99684	30.075081
0.0736	14.995565	29.117523
0.0738	14.996202	28.089602
0.074	14.994927	27.867804
0.0742	14.99684	26.725159
0.0744	14.993015	25.689589
0.0746	14.994927	24.516352
0.0748	14.99174	24.123234
0.075	14.993015	23.956501
0.0752	14.996202	23.82954
0.0754	14.996202	23.606213
0.0756	14.99429	23.445601
0.0758	14.995565	23.482311
0.076	14.995565	23.509846
0.0762	14.996202	23.597034
0.0764	14.99174	23.896845
0.0766	14.99684	24.048281
0.0768	14.996202	24.588245
0.077	14.996202	24.764154
0.0772	14.993652	25.94504
0.0774	14.997478	27.089214
0.0776	14.996202	28.306812
0.0778	14.99684	29.230717
0.078	14.997478	29.428041
0.0782	14.99429	30.075081
0.0784	14.996202	30.070492
0.0786	14.99684	30.062843
0.0788	14.995565	30.067432
0.079	14.993015	30.067432
0.0792	14.996202	30.070492
0.0794	14.992377	30.064373
0.0796	14.995565	30.064373
0.0798	14.994927	30.068962
0.08	14.99429	30.072021
0.0802	14.992377	30.065903
0.0804	14.995565	30.065903
0.0806	14.993652	30.072021
0.0808	14.999391	30.072021
0.081	14.996202	30.064373
0.0812	14.996202	30.065903
0.0814	14.99429	30.070492
0.0816	14.996202	30.062843
0.0818	14.993015	30.067432
0.082	14.998116	30.068962
0.0822	14.99174	30.072021
0.0824	14.993652	30.065903
0.0826	14.995565	30.072021
0.0828	14.993652	30.065903
0.083	14.996202	30.065903
0.0832	14.994927	30.076611
0.0834	14.998753	30.064373
0.0836	14.994927	29.169531
0.0838	14.995565	28.121725
0.084	14.994927	27.870863
0.0842	14.99684	26.725159
0.0844	14.996202	25.516739
0.0846	14.995565	24.276197
0.0848	14.99429	24.020746
0.085	14.994927	23.893785
0.0852	14.997478	23.638336
0.0854	14.99429	23.444071
0.0856	14.994927	23.307932
0.0858	14.99684	23.266632
0.086	14.99429	23.242157
0.0862	14.993015	23.381355
0.0864	14.99684	23.575621
0.0866	14.994927	23.731644
0.0868	14.99429	23.994743
0.087	14.994927	24.114056
0.0872	14.99174	25.100676
0.0874	14.994927	26.364162
0.0876	14.995565	27.437973
0.0878	14.995565	28.525551
0.088	14.997478	28.79324
0.0882	14.99429	29.90988
0.0884	14.99684	30.073551
0.0886	14.993015	30.075081
0.0888	14.994927	30.075081
0.089	14.994927	30.070492
0.0892	14.995565	30.076611
0.0894	14.997478	30.075081
0.0896	14.996202	30.065903
0.0898	14.99174	30.067432
0.09	14.99684	30.067432
0.0902	14.99684	30.068962
0.0904	14.993652	30.062843
0.0906	14.996202	30.072021
0.0908	14.997478	30.064373
0.091	14.995565	30.067432
0.0912	14.99429	30.070492
0.0914	14.99429	30.068962
0.0916	14.993652	30.070492
0.0918	14.99429	30.072021
0.092	14.998753	30.070492
0.0922	14.992377	30.065903
0.0924	14.994927	30.065903
0.0926	14.99429	30.070492
0.0928	14.992377	30.068962
0.093	14.995565	30.062843
0.0932	14.994927	30.073551
0.0934	15.000028	30.070492
0.0936	14.992377	29.218481
0.0938	14.99684	28.091131
0.094	14.993652	27.798969
0.0942	14.995565	26.579844
0.0944	14.99429	25.441788
0.0946	14.994927	24.244074
0.0948	14.993652	23.964149
0.095	14.998753	23.7913
0.0952	14.993652	23.603153
0.0954	14.998753	23.349232
0.0956	14.999391	23.222273
0.0958	14.996202	23.176382
0.096	14.995565	23.154968
0.0962	14.996202	23.314051
0.0964	14.994927	23.473133
0.0966	14.994927	23.662809
0.0968	14.997478	23.893785
0.097	14.993015	24.020746
0.0972	14.996202	24.843695
0.0974	14.99429	26.1133
0.0976	14.998116	27.234531
0.0978	14.989827	28.2701
0.098	14.998116	28.583677
0.0982	14.993652	29.856342
0.0984	14.99684	30.067432
0.0986	14.993652	30.070492
0.0988	14.997478	30.065903
0.099	14.993015	30.062843
0.0992	14.99684	30.070492
0.0994	14.996202	30.068962
0.0996	14.993015	30.070492
0.0998	14.996202	30.065903
0.1	14.996202	30.067432
0.1002	14.99429	30.070492
0.1004	14.994927	30.064373
0.1006	14.99429	30.068962
0.1008	14.997478	30.070492
0.101	14.99429	30.068962
0.1012	14.995565	30.070492
0.1014	14.995565	30.068962
0.1016	14.995565	30.065903
0.1018	14.993652	30.062843
0.102	14.99684	30.070492
0.1022	14.994927	30.073551
0.1024	14.992377	30.067432
0.1026	14.999391	30.070492
0.1028	14.995565	30.062843
0.103	14.99429	30.067432
0.1032	14.995565	30.062843
0.1034	14.994927	29.963417
0.1036	14.992377	28.877369
0.1038	14.993015	27.812737
0.104	14.993015	27.511396
0.1042	14.996202	26.440645
0.1044	14.993652	25.100676
0.1046	14.998753	24.117115
0.1048	14.992377	23.88155
0.105	14.998753	23.727055
0.1052	14.998753	23.503727
0.1054	14.997478	23.312521
0.1056	14.996202	23.184031
0.1058	14.994927	23.141201
0.106	14.996202	23.110607
0.1062	14.996202	23.31558
0.1064	15.000028	23.480782
0.1066	14.996202	23.736233
0.1068	14.993652	23.976387
0.107	14.99684	24.118645
0.1072	14.99684	25.011957
0.1074	14.993652	26.436056
0.1076	14.995565	27.437973
0.1078	14.993652	28.465895
0.108	14.997478	28.800886
0.1082	14.994927	29.955769
0.1084	14.995565	30.070492
0.1086	14.995565	30.059784
0.1088	14.994927	30.072021
0.109	14.99684	30.068962
0.1092	14.996202	30.067432
0.1094	14.995565	30.068962
0.1096	14.99684	30.065903
0.1098	14.99174	30.07814
0.11	14.994927	30.067432
0.1102	14.99429	30.062843
0.1104	14.997478	30.062843
0.1106	14.995565	30.061314
0.1108	14.994927	30.067432
0.111	14.992377	30.065903
0.1112	14.99684	30.075081
0.1114	14.993015	30.067432
0.1116	14.99429	30.072021
0.1118	14.996202	30.070492
0.112	14.99429	30.072021
0.1122	14.996202	30.068962
0.1124	14.99174	30.067432
0.1126	14.993015	30.070492
0.1128	14.992377	30.068962
0.113	14.996202	30.064373
0.1132	14.996202	30.067432
0.1134	14.99684	30.062843
0.1136	14.997478	29.275078
0.1138	14.999391	28.233389
0.114	14.994927	27.870863
0.1142	14.995565	26.72057
0.1144	14.990465	25.441788
0.1146	14.994927	24.210423
0.1148	14.99684	23.982506
0.115	14.995565	23.800478
0.1152	14.998116	23.541967
0.1154	14.999391	23.35535
0.1156	14.994927	23.150379
0.1158	14.997478	23.115196
0.116	14.994927	23.087664
0.1162	14.993015	23.217684
0.1164	14.996202	23.381355
0.1166	14.99429	23.635277
0.1168	14.994927	23.782122
0.117	14.996202	23.896845
0.1172	14.994927	24.517881
0.1174	14.996202	25.859381
0.1176	14.993652	26.868946
0.1178	14.99429	27.915222
0.118	14.996202	28.300694
0.1182	14.997478	29.484638
0.1184	14.996202	30.067432
0.1186	14.992377	30.073551
0.1188	14.995565	30.068962
0.119	14.994927	30.062843
0.1192	14.998116	30.068962
0.1194	14.995565	30.058256
0.1196	14.99429	30.068962
0.1198	14.993652	30.062843
0.12	14.997478	30.068962
0.1202	14.996202	30.067432
0.1204	14.995565	30.067432
0.1206	14.995565	30.072021
0.1208	14.998116	30.070492
0.121	14.992377	30.072021
0.1212	14.996202	30.070492
0.1214	14.99429	30.062843
0.1216	14.995565	30.067432
0.1218	14.996202	30.070492
0.122	14.99684	30.067432
0.1222	14.99684	30.064373
0.1224	14.997478	30.065903
0.1226	14.992377	30.073551
0.1228	14.99429	30.073551
0.123	14.996202	30.064373
0.1232	14.995565	30.068962
0.1234	14.99429	30.076611
0.1236	14.99429	29.117523
0.1238	14.99684	28.172203
0.124	14.990465	27.798969
0.1242	14.99684	26.656324
0.1244	14.995565	25.189396
0.1246	14.994927	24.247133
0.1248	14.995565	24.010038
0.125	14.994927	23.763767
0.1252	14.99429	23.541967
0.1254	14.994927	23.248276
0.1256	14.99174	23.121315
0.1258	14.995565	23.086134
0.126	14.989827	23.05707
0.1262	14.998116	23.180971
0.1264	14.994927	23.349232
0.1266	14.992377	23.566442
0.1268	14.99174	23.737762
0.127	14.99429	23.893785
0.1272	14.996202	24.514822
0.1274	14.995565	25.605459
0.1276	14.994927	26.870476
0.1278	14.998753	27.821915
0.128	14.995565	28.2288
0.1282	14.997478	29.424982
0.1284	14.992377	30.073551
0.1286	14.99684	30.064373
0.1288	14.993652	30.068962
0.129	14.994927	30.068962
0.1292	0.152164	30.070492
0.1294	0.156627	30.070492
0.1296	0.147701	30.068962
0.1298	0.150252	30.073551
0.13	0.153439	30.061314
0.1302	0.148976	30.075081
0.1304	0.148976	30.065903
0.1306	0.150252	30.062843
0.1308	0.155352	30.067432
0.131	0.152802	30.064373
0.1312	0.148976	30.067432
0.1314	0.152164	30.065903
0.1316	0.150889	30.068962
0.1318	0.152164	30.072021
0.132	0.146426	30.073551
0.1322	0.145151	30.065903
0.1324	0.147064	30.068962
0.1326	0.151527	30.068962
0.1328	0.149614	30.067432
0.133	0.150252	30.064373
0.1332	0.150889	30.065903
0.1334	0.148339	30.065903
0.1336	0.151527	29.545824
0.1338	14.971976	28.781002
0.134	14.977714	28.439892
0.1342	14.980264	27.078506
0.1344	14.981539	25.935862
0.1346	14.983452	24.690731
0.1348	14.98664	24.325146
0.135	14.982814	23.982506
0.1352	14.982177	23.707169
0.1354	14.982177	23.439482
0.1356	14.982177	23.283459
0.1358	14.985364	23.222273
0.136	14.982814	23.156498
0.1362	14.983452	23.214624
0.1364	14.983452	23.433363
0.1366	14.982814	23.569502
0.1368	14.984727	23.710228
0.137	14.984089	23.864723
0.1372	14.982177	24.274668
0.1374	14.982814	25.521328
0.1376	14.980264	26.731277
0.1378	14.980902	27.532812
0.138	14.982814	27.938168
0.1382	14.982814	29.317907
0.1384	14.984089	30.067432
0.1386	14.984727	30.065903
0.1388	14.982177	30.065903
0.139	14.985364	30.062843
0.1392	14.982177	30.062843
0.1394	14.986002	30.068962
0.1396	14.982814	30.064373
0.1398	14.984089	30.068962
0.14	14.984089	30.061314
0.1402	14.986002	30.068962
0.1404	14.982814	30.065903
0.1406	14.984089	30.070492
0.1408	14.986002	30.068962
0.141	14.984727	30.072021
0.1412	14.981539	30.068962
0.1414	14.987277	30.073551
0.1416	14.984089	30.062843
0.1418	14.982177	30.064373
0.142	14.986002	30.068962
0.1422	14.983452	30.062843
0.1424	14.985364	30.073551
0.1426	14.982177	30.064373
0.1428	14.981539	30.068962
0.143	14.984089	30.065903
0.1432	14.982814	30.073551
0.1434	14.982814	30.067432
0.1436	14.984089	29.593243
0.1438	14.983452	28.823832
0.144	14.984089	28.436832
0.1442	14.986002	27.080036
0.1444	14.984727	26.016933
0.1446	14.986002	24.761095
0.1448	14.985364	24.459755
0.145	14.984727	24.019217
