Time (s),Counter (),coil1 (V),coil2 (V)
0.015200,0.060248,0.017056,0.059212
0.015300,0.060248,0.008022,0.064100
0.015400,0.060248,0.000791,0.065463
0.015500,0.060248,-0.002800,0.062898
0.015600,0.053867,-0.006569,0.058972
0.015700,0.060248,-0.009468,0.060815
0.015800,0.063439,-0.013558,0.065142
0.015900,0.063439,-0.015893,0.062818
0.016000,0.057058,-0.017987,0.055767
0.016100,0.057058,-0.021143,0.048074
0.016200,0.057058,-0.023913,0.049997
0.016300,0.060248,-0.025636,0.053443
0.016400,0.053867,-0.026393,0.047994
0.016500,0.053867,-0.028100,0.048955
0.016600,0.057058,-0.030628,0.055767
0.016700,0.050677,-0.032529,0.055927
0.016800,0.060248,-0.035218,0.048314
0.016900,0.063439,-0.037183,0.039419
0.017000,0.060248,-0.039840,0.042545
0.017100,0.060248,-0.042272,0.040221
0.017200,0.063439,-0.043560,0.037737
0.017300,0.063439,-0.047989,0.033810
0.017400,0.053867,-0.053319,0.029563
0.017500,0.066630,-0.058070,0.026518
0.017600,0.060248,-0.063578,0.017303
0.017700,0.053867,-0.069987,0.004081
0.017800,0.060248,-0.078184,0.002959
0.017900,0.053867,-0.084062,-0.003452
0.018000,0.057058,-0.089199,-0.008260
0.018100,0.053867,-0.091631,-0.013949
0.018200,0.063439,-0.094079,-0.013548
0.018300,0.057058,-0.094562,-0.020921
0.018400,0.063439,-0.097106,-0.020680
0.018500,0.060248,-0.098057,-0.022603
0.018600,0.066630,-0.099458,-0.019318
0.018700,0.057058,-0.100698,-0.022844
0.018800,0.057058,-0.100392,-0.026690
0.018900,0.060248,-0.101084,-0.034223
0.019000,0.057058,-0.102131,-0.035986
0.019100,0.060248,-0.101165,-0.033021
0.019200,0.057058,-0.101664,-0.032780
0.019300,0.060248,-0.101535,-0.040313
0.019400,0.057058,-0.102695,-0.033902
0.019500,0.053867,-0.106688,-0.039431
0.019600,0.057058,-0.107896,-0.042797
0.019700,0.057058,-0.107832,-0.044239
0.019800,0.066630,-0.108009,-0.052493
0.019900,0.060248,-0.105771,-0.054977
0.020000,0.060248,-0.102775,-0.071725
0.020100,0.060248,-0.103001,-0.068359
0.020200,0.063439,-0.106479,-0.075171
0.020300,0.063439,-0.108685,-0.078937
0.020400,0.053867,-0.107751,-0.088152
0.020500,0.063439,-0.105932,-0.098329
