Time (s),Counter (),coil1 (V),coil2 (V)
0.014900,0.050677,-0.181616,-2.936234
0.015000,0.057058,-0.072462,-2.539951
0.015100,0.060248,0.031298,-2.164980
0.015200,0.060248,0.119986,-1.852185
0.015300,0.050677,0.200583,-1.603807
0.015400,0.053867,0.272770,-1.405585
0.015500,0.053867,0.352732,-1.226433
0.015600,0.057058,0.437454,-1.075643
0.015700,0.060248,0.532329,-0.950012
0.015800,0.063439,0.627681,-0.836720
0.015900,0.060248,0.676229,-0.741215
0.016000,0.060248,0.803946,-0.649876
0.016100,0.060248,0.929442,-0.570395
0.016200,0.060248,1.055096,-0.507419
0.016300,0.060248,1.204390,-0.439956
0.016400,0.060248,1.386525,-0.350701
0.016500,0.060248,1.612608,-0.263848
0.016600,0.060248,1.888191,-0.180201
0.016700,0.053867,2.223428,-0.076844
0.016800,0.053867,2.593728,0.024911
0.016900,0.057058,2.935787,0.123781
0.017000,0.057058,3.180749,0.222972
0.017100,0.063439,3.319096,0.335463
0.017200,0.063439,3.407149,0.476478
0.017300,0.057058,3.489967,0.634799
0.017400,0.057058,3.602612,0.827732
0.017500,0.057058,3.783954,1.061207
0.017600,0.053867,3.997185,1.346762
0.017700,0.060248,4.176941,1.651866
0.017800,0.060248,4.303547,1.934856
0.017900,0.057058,4.354634,2.162723
0.018000,0.063439,4.356380,2.330017
0.018100,0.053867,4.299740,2.476480
0.018200,0.057058,4.236913,2.593298
0.018300,0.050677,4.186619,2.723416
0.018400,0.057058,4.180273,2.854335
0.018500,0.060248,4.200422,2.996631
0.018600,0.063439,4.221682,3.145017
0.018700,0.060248,4.175672,3.312953
0.018800,0.053867,4.050493,3.468549
0.018900,0.057058,3.891204,3.589854
0.019000,0.060248,3.785382,3.655233
0.019100,0.057058,3.777449,3.701864
0.019200,0.060248,3.826156,3.763398
0.019300,0.050677,4.095076,3.964344
0.019400,0.057058,4.086825,3.932295
0.019500,0.053867,4.132201,3.987579
0.019600,0.057058,4.120936,3.979887
0.019700,0.050677,4.087936,3.899445
0.019800,0.057058,4.104119,3.794966
0.019900,0.063439,4.182811,3.775256
0.020000,0.063439,4.265788,3.862268
0.020100,0.063439,4.287047,3.978765
0.020200,0.060248,4.242783,4.046709
0.020300,0.060248,4.165994,4.047510
0.020400,0.060248,4.105705,3.984534
0.020500,0.050677,4.118556,3.897522
0.020600,0.060248,4.196138,3.862108
0.020700,0.057058,4.258014,3.936141
0.020800,0.050677,4.243576,4.044466
0.020900,0.057058,4.159648,4.081161
0.021000,0.053867,4.046686,4.044626
0.021100,0.057058,3.975291,3.987098
0.021200,0.057058,4.008291,3.937903
0.021300,0.063439,4.089205,3.958094
0.021400,0.063439,4.138547,4.034210
0.021500,0.060248,4.115859,4.119139
0.021600,0.063439,4.029392,4.126991
0.021700,0.060248,3.894695,4.060009
0.021800,0.053867,3.808863,3.967068
0.021900,0.057058,3.809180,3.904412
0.022000,0.057058,3.865502,3.968189
0.022100,0.053867,3.892632,4.080200
0.022200,0.053867,3.859156,4.147662
0.022300,0.057058,3.806007,4.135003
0.022400,0.057058,3.765391,4.039177
0.022500,0.060248,3.749526,3.887587
0.022600,0.057058,3.685588,3.705389
0.022700,0.063439,3.782050,3.745130
0.022800,0.060248,3.779353,3.775256
0.022900,0.057058,3.751430,3.810670
0.023000,0.060248,3.690506,3.827495
0.023100,0.063439,3.603088,3.866755
0.023200,0.066630,3.478068,3.914187
0.023300,0.063439,3.320841,3.973638
0.023400,0.063439,3.160918,4.016102
0.023500,0.050677,3.002739,4.104236
0.023600,0.050677,2.865344,4.212080
0.023700,0.057058,2.734930,4.291241
0.023800,0.057058,2.589920,4.334507
0.023900,0.060248,2.381289,4.375048
0.024000,0.060248,2.079687,4.395239
0.024100,0.063439,1.690031,4.351973
0.024200,0.066630,1.294188,4.223298
0.024300,0.060248,0.974182,4.033729
0.024400,0.057058,0.745720,3.851211
0.024500,0.060248,0.588652,3.716607
0.024600,0.057058,0.462363,3.610044
0.024700,0.060248,0.346386,3.466306
0.024800,0.060248,0.232155,3.260553
0.024900,0.053867,0.117130,2.933175
0.025000,0.053867,0.008293,2.526156
0.025100,0.063439,-0.098481,2.150865
0.025200,0.053867,-0.190342,1.857939
0.025300,0.060248,-0.268717,1.619336
0.025400,0.060248,-0.344237,1.412141
0.025500,0.057058,-0.425151,1.233790
0.025600,0.060248,-0.513521,1.077392
0.025700,0.066630,-0.604906,0.947755
0.025800,0.053867,-0.701844,0.838308
0.025900,0.063439,-0.755311,0.745527
0.026000,0.057058,-0.883504,0.652906
0.026100,0.063439,-1.011855,0.577431
0.026200,0.060248,-1.139413,0.510289
0.026300,0.057058,-1.292515,0.425520
0.026400,0.057058,-1.483377,0.345398
0.026500,0.053867,-1.716281,0.262392
0.026600,0.060248,-2.004081,0.175540
