Time (s),Counter (),coil1 (V),coil2 (V)
0.015200,0.060248,-0.021691,0.052802
0.015300,0.063439,-0.023639,0.050157
0.015400,0.060248,-0.026248,0.048795
0.015500,0.057058,-0.027230,0.048234
0.015600,0.060248,-0.029066,0.044308
0.015700,0.057058,-0.032191,0.035012
0.015800,0.053867,-0.033511,0.039820
0.015900,0.066630,-0.036313,0.026839
0.016000,0.057058,-0.038664,0.016902
0.016100,0.069820,-0.040855,0.014739
0.016200,0.060248,-0.041692,0.006966
0.016300,0.057058,-0.045122,0.002558
0.016400,0.060248,-0.047457,-0.001528
0.016500,0.069820,-0.053062,-0.006256
0.016600,0.057058,-0.057828,-0.005535
0.016700,0.057058,-0.063851,-0.002891
0.016800,0.060248,-0.071952,-0.014590
0.016900,0.060248,-0.078764,-0.016033
0.017000,0.060248,-0.086381,-0.013388
0.017100,0.057058,-0.089151,-0.020921
0.017200,0.053867,-0.092968,-0.022443
0.017300,0.063439,-0.093000,-0.024607
0.017400,0.063439,-0.094385,-0.021241
0.017500,0.060248,-0.097284,-0.030456
0.017600,0.060248,-0.098652,-0.029335
0.017700,0.057058,-0.099748,-0.026530
0.017800,0.066630,-0.100714,-0.035585
0.017900,0.060248,-0.100923,-0.031338
0.018000,0.063439,-0.101793,-0.038870
0.018100,0.060248,-0.102421,-0.049448
0.018200,0.063439,-0.102743,-0.046804
0.018300,0.063439,-0.101889,-0.050730
0.018400,0.053867,-0.103951,-0.053134
0.018500,0.057058,-0.104836,-0.063231
0.018600,0.057058,-0.106994,-0.063391
0.018700,0.060248,-0.109458,-0.079658
0.018800,0.057058,-0.108508,-0.077494
0.018900,0.057058,-0.107236,-0.088713
0.019000,0.066630,-0.104563,-0.087912
0.019100,0.063439,-0.102614,-0.089514
0.019200,0.063439,-0.103951,-0.083825
0.019300,0.057058,-0.106560,-0.086229
0.019400,0.060248,-0.109201,-0.096246
0.019500,0.063439,-0.108766,-0.086069
0.019600,0.053867,-0.106721,-0.090396
0.019700,0.057058,-0.102099,-0.094242
0.019800,0.060248,-0.098894,-0.095444
0.019900,0.063439,-0.098202,-0.087191
0.020000,0.053867,-0.099554,-0.094322
0.020100,0.060248,-0.100360,-0.090316
0.020200,0.069820,-0.101229,-0.091838
0.020300,0.063439,-0.097010,-0.100573
0.020400,0.066630,-0.094031,-0.096646
0.020500,0.063439,-0.090423,-0.090797
0.020600,0.069820,-0.090874,-0.097127
0.020700,0.060248,-0.092420,-0.090476
0.020800,0.057058,-0.093612,-0.092800
0.020900,0.060248,-0.091840,-0.095364
0.021000,0.063439,-0.089360,-0.096967
0.021100,0.063439,-0.085544,-0.096887
0.021200,0.050677,-0.083015,-0.096807
0.021300,0.050677,-0.082178,-0.094242
0.021400,0.060248,-0.084223,-0.090476
0.021500,0.057058,-0.084384,-0.086069
0.021600,0.060248,-0.083241,-0.092559
0.021700,0.060248,-0.080068,-0.089835
0.021800,0.057058,-0.075752,-0.095524
0.021900,0.057058,-0.072725,-0.099371
0.022000,0.057058,-0.072097,-0.089114
0.022100,0.060248,-0.071324,-0.086149
0.022200,0.053867,-0.070760,-0.088232
0.022300,0.063439,-0.068296,-0.082543
0.022400,0.057058,-0.065494,-0.087431
0.022500,0.057058,-0.060969,-0.093281
0.022600,0.060248,-0.057700,-0.084787
0.022700,0.057058,-0.054833,-0.082062
0.022800,0.060248,-0.053190,-0.078055
0.022900,0.057058,-0.051532,-0.081742
0.023000,0.063439,-0.049535,-0.076212
0.023100,0.063439,-0.048568,-0.086950
0.023200,0.066630,-0.048440,-0.079257
0.023300,0.066630,-0.045444,-0.078937
