Time (s),Counter (),coil1 (V),coil2 (V)
0.014900,0.063439,1.068423,-2.655166
0.015000,0.060248,1.222476,-2.604850
0.015100,0.060248,1.415242,-2.481943
0.015200,0.063439,1.653382,-2.199433
0.015300,0.060248,1.946576,-1.764692
0.015400,0.060248,2.290221,-1.330431
0.015500,0.053867,2.663377,-0.970043
0.015600,0.053867,2.989095,-0.694263
0.015700,0.057058,3.204706,-0.472646
0.015800,0.053867,3.327029,-0.265611
0.015900,0.066630,3.405721,-0.076363
0.016000,0.063439,3.490284,0.051351
0.016100,0.066630,3.611496,0.162560
0.016200,0.057058,3.785699,0.303414
0.016300,0.053867,4.006864,0.485932
0.016400,0.057058,4.190109,0.613166
0.016500,0.053867,4.310052,0.698255
0.016600,0.057058,4.363836,0.784626
0.016700,0.057058,4.357807,0.882215
0.016800,0.057058,4.313860,0.945191
0.016900,0.053867,4.256586,0.974515
0.017000,0.050677,4.213114,0.978521
0.017100,0.060248,4.205023,1.001917
0.017200,0.060248,4.234057,1.016499
0.017300,0.060248,4.243417,1.015057
0.017400,0.057058,4.187412,0.999353
0.017500,0.063439,4.056839,1.059124
0.017600,0.063439,3.904214,1.231386
0.017700,0.060248,3.811401,1.482648
0.017800,0.053867,3.817430,1.794963
0.017900,0.060248,3.907387,2.183715
0.018000,0.053867,4.072229,2.613328
0.018100,0.053867,4.117604,2.999195
0.018200,0.050677,4.115066,3.176585
0.018300,0.050677,4.101263,3.250297
0.018400,0.057058,4.090157,3.305742
0.018500,0.053867,4.126647,3.330259
0.018600,0.053867,4.212004,3.375608
0.018700,0.047486,4.274355,3.444192
0.018800,0.053867,4.276735,3.535691
0.018900,0.053867,4.224696,3.628793
0.019000,0.057058,4.144100,3.757148
0.019100,0.060248,4.088571,3.829578
0.019200,0.063439,4.121729,3.876850
0.019300,0.060248,4.199311,3.870281
0.019400,0.057058,4.247859,3.830860
0.019500,0.060248,4.221840,3.792883
0.019600,0.063439,4.131248,3.851692
0.019700,0.057058,4.022094,3.961459
0.019800,0.066630,3.965296,4.084366
0.019900,0.063439,3.997820,4.186281
0.020000,0.066630,4.073022,4.223298
0.020100,0.053867,4.118398,4.115774
0.020200,0.053867,4.086825,3.998476
0.020300,0.057058,3.992584,3.993187
0.020400,0.057058,3.862329,4.117056
0.020500,0.053867,3.780305,4.255667
0.020600,0.063439,3.785064,4.320245
0.020700,0.057058,3.840752,4.304221
0.020800,0.057058,3.850271,4.220894
0.020900,0.057058,3.811877,4.146701
0.021000,0.053867,3.755555,4.188365
0.021100,0.057058,3.710180,4.358062
0.021200,0.060248,3.695425,4.532888
0.021300,0.053867,3.589285,4.459176
0.021400,0.066630,3.685429,4.509333
0.021500,0.063439,3.734454,4.426647
0.021600,0.063439,3.713670,4.291882
0.021700,0.057058,3.661631,4.255987
0.021800,0.057058,3.585953,4.334026
0.021900,0.050677,3.459505,4.376330
0.022000,0.057058,3.294505,4.299413
0.022100,0.060248,3.126014,4.095904
0.022200,0.057058,2.971325,3.827495
0.022300,0.063439,2.831551,3.604276
0.022400,0.063439,2.698122,3.557004
0.022500,0.063439,2.544069,3.598026
