Time (s),Counter (),coil1 (V),coil2 (V)
0.015100,0.063439,-0.979490,-0.503733
0.015200,0.063439,-1.104351,-0.435470
0.015300,0.063439,-1.256818,-0.353104
0.015400,0.060248,-1.450218,-0.278591
0.015500,0.060248,-1.685820,-0.185169
0.015600,0.060248,-1.972984,-0.084055
0.015700,0.063439,-2.317741,0.025231
0.015800,0.060248,-2.692007,0.151183
0.015900,0.060248,-3.019787,0.293159
0.016000,0.053867,-3.240951,0.438500
0.016100,0.057058,-3.361053,0.592013
0.016200,0.057058,-3.448154,0.796485
0.016300,0.057058,-3.533986,1.024351
0.016400,0.057058,-3.661703,1.299330
0.016500,0.066630,-3.842887,1.612606
0.016600,0.057058,-4.055008,1.871560
0.016700,0.063439,-4.213821,2.058244
0.016800,0.053867,-4.310124,2.177305
0.016900,0.063439,-4.344235,2.286591
0.017000,0.060248,-4.323769,2.397480
0.017100,0.063439,-4.272523,2.537213
0.017200,0.060248,-4.211124,2.668933
0.017300,0.053867,-4.168446,2.824369
0.017400,0.053867,-4.164638,2.980447
0.017500,0.057058,-4.196369,3.158638
0.017600,0.057058,-4.200177,3.342117
0.017700,0.060248,-4.144331,3.523353
0.017800,0.060248,-4.015820,3.650105
0.017900,0.057058,-3.865574,3.722696
0.018000,0.050677,-3.779583,3.738400
0.018100,0.057058,-3.796718,3.748335
0.018200,0.057058,-3.759752,3.682635
0.018300,0.057058,-4.021532,3.904252
0.018400,0.069820,-4.108157,4.005366
0.018500,0.060248,-4.143061,4.077636
0.018600,0.060248,-4.111648,4.058246
0.018700,0.060248,-4.074681,3.983252
0.018800,0.057058,-4.110219,3.918994
0.018900,0.057058,-4.196845,3.948479
0.019000,0.063439,-4.271254,4.065618
0.019100,0.057058,-4.282360,4.165930
0.019200,0.060248,-4.226830,4.212401
0.019300,0.060248,-4.147662,4.191890
0.019400,0.057058,-4.102128,4.113210
0.019500,0.050677,-4.138460,4.056163
0.019600,0.057058,-4.212869,4.085648
0.019700,0.057058,-4.261576,4.192691
0.019800,0.060248,-4.230163,4.278421
0.019900,0.057058,-4.140205,4.298772
0.020000,0.053867,-4.040094,4.245411
0.020100,0.057058,-3.996306,4.157758
0.020200,0.066630,-4.038032,4.127311
0.020300,0.060248,-4.117994,4.176987
0.020400,0.066630,-4.153691,4.273774
0.020500,0.053867,-4.120691,4.359985
0.020600,0.050677,-4.013758,4.349890
0.020700,0.053867,-3.890483,4.256308
0.020800,0.060248,-3.823055,4.152630
0.020900,0.050677,-3.846694,4.111447
0.021000,0.060248,-3.904127,4.185320
0.021100,0.060248,-3.915550,4.302778
0.021200,0.053867,-3.869382,4.370882
0.021300,0.050677,-3.802747,4.357742
0.021400,0.057058,-3.751184,4.237239
0.021500,0.063439,-3.729131,4.081001
0.021600,0.063439,-3.801636,4.030364
0.021700,0.060248,-3.789420,3.989983
0.021800,0.066630,-3.772603,3.985175
0.021900,0.057058,-3.741189,3.998956
0.022000,0.053867,-3.682328,3.971875
0.022100,0.060248,-3.577458,3.947678
0.022200,0.060248,-3.439904,3.986778
0.022300,0.066630,-3.284264,4.052638
0.022400,0.053867,-3.126244,4.138048
0.022500,0.060248,-2.977902,4.224419
0.022600,0.060248,-2.845267,4.311912
0.022700,0.057058,-2.716757,4.390111
0.022800,0.050677,-2.559848,4.443633
0.022900,0.057058,-2.335669,4.475521
0.023000,0.060248,-2.018201,4.499237
0.023100,0.060248,-1.629497,4.476322
0.023200,0.060248,-1.250472,4.310150
0.023300,0.060248,-0.950297,4.044786
0.023400,0.063439,-0.730243,3.753142
0.023500,0.060248,-0.563656,3.493227
0.023600,0.063439,-0.430069,3.259111
0.023700,0.060248,-0.310761,2.953526
0.023800,0.050677,-0.198751,2.569261
0.023900,0.060248,-0.088486,2.198617
0.024000,0.053867,0.022096,1.893674
0.024100,0.050677,0.115861,1.644975
0.024200,0.063439,0.206136,1.448356
0.024300,0.057058,0.288160,1.297567
0.024400,0.050677,0.368281,1.146297
0.024500,0.057058,0.449512,1.012493
0.024600,0.057058,0.542325,0.904168
0.024700,0.060248,0.639738,0.796164
0.024800,0.063439,0.742864,0.716042
0.024900,0.066630,0.817590,0.629350
0.025000,0.063439,0.946894,0.565253
0.025100,0.060248,1.063663,0.492021
0.025200,0.057058,1.193284,0.422956
0.025300,0.060248,1.361458,0.334502
0.025400,0.057058,1.569454,0.245406
0.025500,0.060248,1.828220,0.160477
0.025600,0.063439,2.133947,0.059523
0.025700,0.057058,2.493299,-0.059217
0.025800,0.060248,2.858363,-0.196065
0.025900,0.057058,3.146321,-0.339483
0.026000,0.053867,3.320365,-0.482741
0.026100,0.057058,3.419524,-0.645870
0.026200,0.057058,3.499486,-0.852584
0.026300,0.066630,3.595790,-1.115544
0.026400,0.057058,3.741910,-1.410713
0.026500,0.057058,3.945940,-1.713414
0.026600,0.057058,4.157427,-1.955382
0.026700,0.057058,4.316399,-2.108575
0.026800,0.057058,4.408577,-2.212252
0.026900,0.060248,4.445385,-2.331314
0.027000,0.057058,4.423332,-2.459028
0.027100,0.053867,4.361773,-2.582255
0.027200,0.050677,4.302596,-2.716219
0.027300,0.053867,4.268009,-2.858516
0.027400,0.057058,4.282288,-3.009625
0.027500,0.060248,4.314019,-3.186054
0.027600,0.053867,4.301643,-3.381872
0.027700,0.050677,4.219302,-3.568395
0.027800,0.053867,4.063344,-3.695469
0.027900,0.057058,3.916113,-3.746426
0.028000,0.063439,3.851858,-3.740016
0.028100,0.066630,3.894853,-3.768219
0.028200,0.066630,3.853762,-3.704282
0.028300,0.063439,4.085239,-3.932149
0.028400,0.057058,4.158537,-4.055376
0.028500,0.053867,4.178845,-4.124441
0.028600,0.053867,4.150763,-4.080695
0.028700,0.060248,4.141720,-3.982465
0.028800,0.066630,4.211687,-3.923175
0.028900,0.057058,4.294663,-3.969325
0.029000,0.057058,4.346860,-4.089027
0.029100,0.057058,4.332264,-4.195269
0.029200,0.050677,4.263566,-4.222831
0.029300,0.053867,4.184715,-4.189500
0.029400,0.060248,4.161710,-4.120595
0.029500,0.063439,4.216922,-4.069958
0.029600,0.063439,4.293076,-4.106654
0.029700,0.060248,4.313860,-4.214178
0.029800,0.060248,4.260394,-4.298787
0.029900,0.057058,4.159172,-4.295421
0.030000,0.057058,4.057950,-4.227318
0.030100,0.060248,4.037960,-4.149600
0.030200,0.063439,4.094917,-4.126524
0.030300,0.060248,4.165835,-4.195750
0.030400,0.053867,4.175830,-4.290614
0.030500,0.057058,4.117922,-4.352628
0.030600,0.057058,3.998931,-4.328592
0.030700,0.053867,3.883589,-4.228279
0.030800,0.057058,3.834089,-4.116910
0.030900,0.060248,3.873276,-4.106654
0.031000,0.060248,3.915796,-4.213377
0.031100,0.060248,3.900565,-4.336764
0.031200,0.060248,3.854714,-4.377146
0.031300,0.060248,3.799343,-4.326509
0.031400,0.063439,3.770468,-4.191423
0.031500,0.066630,3.769358,-4.023167
0.031600,0.063439,3.847098,-4.028936
0.031700,0.057058,3.818382,-3.938238
0.031800,0.057058,3.790300,-3.935033
0.031900,0.057058,3.758886,-3.931668
0.032000,0.060248,3.691458,-3.896895
0.032100,0.057058,3.592299,-3.901863
0.032200,0.060248,3.449352,-3.968844
0.032300,0.053867,3.279591,-4.047524
0.032400,0.050677,3.117288,-4.124441
0.032500,0.057058,2.969739,-4.213537
0.032600,0.060248,2.837897,-4.312247
0.032700,0.057058,2.701295,-4.388042
